name,coef1,coef2
CCS:130,0.00592339571992238,0.0065488055767069
CCS:131,0,0
CCS:156,0,0
CCS:163,0,0
CCS:182,0,0
CCS:198,0,0
CCS:200,0.00383809270650012,-0.00011288020923603
CCS:206,0,0
CCS:213,0,0
CCS:215,0,0
CCS:218,0.198446969239514,0.121838625418801
CCS:219,0.0107125809298312,0.0344236433792056
CCS:220,-0.0120762144683037,0.00303489154840309
CCS:226,0,0
CCS:227,0.0124498738543891,0.00636697371257011
CCS:228,0.00915218735777644,0.00443098360170734
CCS:232,0,0
CCS:233,0,0
CCS:234,0,0
CCS:235,0.007091651471099,0.0103941702976196
CCS:237,0.0091835654848925,0.0271275263635066
LOINC:10976-9,0,0
LOINC:10992-6,0,
LOINC:10998-3,0.00622708532267762,0.0119974317585718
LOINC:11004-9,0,
LOINC:12342-2,0,
LOINC:12375-2,0,
LOINC:12377-8,0,
LOINC:12382-8,0,0
LOINC:13453-6,0,
LOINC:13557-4,0,
LOINC:13569-9,0,
LOINC:13572-3,0,
LOINC:13577-2,0,
LOINC:13579-8,0,
LOINC:13588-9,0,
LOINC:13622-6,0,
LOINC:14313-1,0,
LOINC:14314-9,0,
LOINC:14316-4,0,
LOINC:14334-7,0,0
LOINC:14336-2,0,
LOINC:14624-1,0,
LOINC:16199-2,0,
LOINC:16201-6,0,0
LOINC:16228-9,0,0
LOINC:16249-5,,0
LOINC:16254-5,0,
LOINC:16360-0,0.00217377566745499,
LOINC:16369-1,0,
LOINC:17384-9,0,
LOINC:17738-6,0,
LOINC:17856-6,0,
LOINC:18282-4,,0
LOINC:19080-1,,0
LOINC:19141-1,,0
LOINC:19289-9,0,
LOINC:19312-8,,0
LOINC:19328-4,,0
LOINC:19388-8,,0
LOINC:19483-7,,0
LOINC:19550-3,0,
LOINC:19642-8,0,
LOINC:19659-2,,0
LOINC:20507-0,0,0
LOINC:2086-7,0,
LOINC:2090-9,0,
LOINC:2093-3,0,
LOINC:2106-3,0.00391404627486747,0.00586084847449796
LOINC:2110-5,0.000936008854908186,0.00287227994682036
LOINC:21441-1,,0
LOINC:2161-8,0,
LOINC:24111-7,,0
LOINC:2571-8,0,
LOINC:28059-4,0,
LOINC:2963-7,0,
LOINC:3016-3,0,0
LOINC:30167-1,,0
LOINC:3298-7,0,0
LOINC:33060-5,0,
LOINC:3312-6,0,
LOINC:3335-7,0,
LOINC:3349-8,,0
LOINC:3389-4,0,
LOINC:3390-2,,0
LOINC:3397-7,,0
LOINC:3413-2,0,
LOINC:3414-0,0.00889350392022799,0.0110992037942608
LOINC:3436-3,,0
LOINC:3491-8,0.0123147402075514,
LOINC:3494-2,0,
LOINC:3505-5,0,
LOINC:3507-1,,0
LOINC:3531-1,0.00822936270186722,
LOINC:35467-0,0,
LOINC:3548-5,0,
LOINC:35597-4,0,
LOINC:35608-9,0,
LOINC:35610-5,0,
LOINC:35614-7,0,
LOINC:35616-2,0,
LOINC:35624-6,0,
LOINC:35627-9,0.00268443591641158,
LOINC:35629-5,0,
LOINC:35635-2,0,
LOINC:3679-8,0.0015043412010996,
LOINC:3682-2,1.26711661805868e-05,
LOINC:3725-9,,0
LOINC:3773-9,,0
LOINC:3778-8,0,
LOINC:3826-5,0,
LOINC:3879-4,,0
LOINC:4073-3,0,0
LOINC:43304-5,0,0
LOINC:47000-5,,0
LOINC:48345-3,,0
LOINC:55349-5,0,
LOINC:5643-2,,0
LOINC:5644-0,,0
LOINC:5645-7,,0
LOINC:56888-1,,0
LOINC:57300-6,0,
LOINC:57301-4,0,
LOINC:57304-8,0,
LOINC:58375-7,,0
LOINC:58424-3,,0
LOINC:59593-4,0,
LOINC:60676-4,,0
LOINC:6349-5,,0
LOINC:6410-5,,0
LOINC:6515-1,,0
LOINC:698-1,,0
LOINC:72377-5,0,
LOINC:72378-3,0,
LOINC:72380-9,0,
LOINC:72381-7,0,
LOINC:72385-8,0,
LOINC:72388-2,0,
LOINC:72610-9,0.00306772109268042,
LOINC:72733-9,0,
LOINC:72735-4,0,
LOINC:72737-0,0,
LOINC:72746-1,1.41821876620737e-07,
LOINC:72750-3,0,
LOINC:72752-9,0,
LOINC:72753-7,0,
LOINC:72755-2,0,
LOINC:72758-6,0,
LOINC:72762-8,0,
LOINC:72766-9,0.00047769655244023,
LOINC:82306-2,,0
LOINC:9830-1,0,
LOINC:X7003-7,0,
LOINC:X7004-5,0,
LOINC:X7005-2,0,
LOINC:X7006-0,0.0278515861096187,
LOINC:X7008-6,0.0186869173462068,
LOINC:X7011-0,0,
LOINC:X7013-6,0,
Other lab:1000000049,,0
Other lab:1000000388,,0
Other lab:1000000417,,0
Other lab:1000001688,,0
Other lab:1000001695,,0
Other lab:1000001744,,0
Other lab:1000001992,,0
Other lab:1000018437,,0
Other lab:1000019158,,0
Other lab:1000019243,,0
Other lab:1000025222,,0
Other lab:1000036461,,0
Other lab:1000038032,,0
Other lab:1000041034,,0
Other lab:1000046222,,0
Other lab:1000046538,,0
Other lab:1000047671,,0
Other lab:1000048582,,0
Other lab:1000049900,,0
Other lab:1000056092,,0
Other lab:1000058214,,0
Other lab:1000065473,,0
Other lab:1000072482,,0
Other lab:1000073068,,0
Other lab:1000073438,,0
