name,coef1,coef2
CCS:130,0,0
CCS:131,-0.00229047267634609,-0.00282743628204801
CCS:156,0,0
CCS:163,0.00180268797685059,-0.00198170957281344
CCS:182,0,0
CCS:198,0,0
CCS:200,0.00279962741572715,-0.00123777652291506
CCS:206,0,0
CCS:213,0.00368875624121232,0.00371265405948887
CCS:215,0,0
CCS:218,0.161791629803197,0.107091235214345
CCS:219,0.00142648981473851,0.0109856178904434
CCS:220,-0.000186858377911581,0.000264724501014324
CCS:226,0.00339623902219959,0.006667277625367
CCS:227,0.00179420626980724,0.00761784883514552
CCS:228,0.0156169466863207,0.00943529906355218
CCS:232,0.0120601569936248,-0.00283311941615909
CCS:233,0,0
CCS:234,0.00203240090497347,0.00608091115058571
CCS:235,0.0026164446303834,0.00544618636338839
CCS:237,0.00411886000144739,0.0414569045542327
LOINC:10976-9,0.00635586326676495,0.000521537085141025
LOINC:10992-6,0.00304222841709008,
LOINC:10998-3,0.0042096078227521,0.00538214206251914
LOINC:11004-9,0,
LOINC:12342-2,0.00343122529577252,
LOINC:12375-2,0.00180801144966581,
LOINC:12377-8,0.02157820967948,
LOINC:12382-8,0,0
LOINC:13453-6,0,
LOINC:13557-4,0,
LOINC:13569-9,0.00696814418571719,
LOINC:13572-3,0,
LOINC:13577-2,0.0292042901615489,
LOINC:13579-8,0,
LOINC:13588-9,0.0170622559400662,
LOINC:13622-6,0,
LOINC:14313-1,0,
LOINC:14314-9,0.00355534299081288,
LOINC:14316-4,0.00330645979610378,
LOINC:14334-7,-0.0101239276072175,-0.0106965320500541
LOINC:14336-2,0,
LOINC:14624-1,0.00516788582882298,
LOINC:16199-2,0,
LOINC:16201-6,0,0
LOINC:16228-9,0.00543291825982118,0.00343294198615315
LOINC:16249-5,,0
LOINC:16254-5,0.00228805178424716,
LOINC:16360-0,0.0426452605720207,
LOINC:16369-1,4.80503693716108e-05,
LOINC:17384-9,0.0179283780833179,
LOINC:17738-6,0,
LOINC:17856-6,0,
LOINC:18282-4,,0.0129835653934779
LOINC:19080-1,,0
LOINC:19141-1,,0.000631883809682468
LOINC:19289-9,0,
LOINC:19312-8,,0.000139081549186272
LOINC:19328-4,,0
LOINC:19388-8,,0
LOINC:19483-7,,0
LOINC:19550-3,0,
LOINC:19642-8,0.00249371346482439,
LOINC:19659-2,,0
LOINC:20507-0,0,0
LOINC:2086-7,0.00355786570347292,
LOINC:2090-9,0.00332166803929676,
LOINC:2093-3,0,
LOINC:2106-3,0.00999180076950615,0.00417396619721478
LOINC:2110-5,0.00065266659073509,0.000582286326885907
LOINC:21441-1,,0
LOINC:2161-8,0,
LOINC:24111-7,,0
LOINC:2571-8,0,
LOINC:28059-4,0.00660299020334265,
LOINC:2963-7,0,
LOINC:3016-3,0.0103924417107548,0.00421298727721794
LOINC:30167-1,,0
LOINC:3298-7,0,0
LOINC:33060-5,0,
LOINC:3312-6,0,
LOINC:3335-7,0.0337033283234196,
LOINC:3349-8,,0.00631804642675617
LOINC:3389-4,0,
LOINC:3390-2,,0.000344185343531839
LOINC:3397-7,,0.000536482668735527
LOINC:3413-2,0.0076143472566091,
LOINC:3414-0,0.00669195000684555,0.000293842286953379
LOINC:3436-3,,0
LOINC:3491-8,0.0864041889600006,
LOINC:3494-2,0,
LOINC:3505-5,0.00179774870780147,
LOINC:3507-1,,0
LOINC:3531-1,0.0704196481444737,
LOINC:35467-0,0,
LOINC:3548-5,0,
LOINC:35597-4,0,
LOINC:35608-9,0,
LOINC:35610-5,0,
LOINC:35614-7,0.0008043051546857,
LOINC:35616-2,0,
LOINC:35624-6,0,
LOINC:35627-9,0.000860498843388671,
LOINC:35629-5,0.017208758807064,
LOINC:35635-2,0,
LOINC:3679-8,0,
LOINC:3682-2,0,
LOINC:3725-9,,0
LOINC:3773-9,,0
LOINC:3778-8,0,
LOINC:3826-5,9.88898167871179e-06,
LOINC:3879-4,,0
LOINC:4073-3,0,0
LOINC:43304-5,0.0128569063451167,0.00793064210958823
LOINC:47000-5,,0
LOINC:48345-3,,0
LOINC:55349-5,0.00104595562879197,
LOINC:5643-2,,0
LOINC:5644-0,,0
LOINC:5645-7,,0.00131796074827527
LOINC:56888-1,,0
LOINC:57300-6,0,
LOINC:57301-4,0,
LOINC:57304-8,0,
LOINC:58375-7,,0
LOINC:58424-3,,0.000863090301656893
LOINC:59593-4,0,
LOINC:60676-4,,0
LOINC:6349-5,,0
LOINC:6410-5,,0
LOINC:6515-1,,0
LOINC:698-1,,0
LOINC:72377-5,0,
LOINC:72378-3,0,
LOINC:72380-9,0,
LOINC:72381-7,0,
LOINC:72385-8,0.00191776524860682,
LOINC:72388-2,0.00390807580109305,
LOINC:72610-9,0,
LOINC:72733-9,0,
LOINC:72735-4,9.16904807503074e-17,
LOINC:72737-0,2.46858986635443e-17,
LOINC:72746-1,0,
LOINC:72750-3,0,
LOINC:72752-9,0,
LOINC:72753-7,0,
LOINC:72755-2,0,
LOINC:72758-6,0,
LOINC:72762-8,5.28983542790235e-18,
LOINC:72766-9,0,
LOINC:82306-2,,0
LOINC:9830-1,7.637966803876e-05,
LOINC:X7003-7,0,
LOINC:X7004-5,0,
LOINC:X7005-2,0.00475539640064791,
LOINC:X7006-0,0.000168430551587291,
LOINC:X7008-6,5.47699838333779e-05,
LOINC:X7011-0,0.000916148747291737,
LOINC:X7013-6,0,
Other lab:1000000049,,0
Other lab:1000000388,,0
Other lab:1000000417,,0
Other lab:1000001688,,0
Other lab:1000001695,,0
Other lab:1000001744,,0
Other lab:1000001992,,0
Other lab:1000018437,,0
Other lab:1000019158,,0
Other lab:1000019243,,0
Other lab:1000025222,,0.00501322380320476
Other lab:1000036461,,0
Other lab:1000038032,,0
Other lab:1000041034,,0
Other lab:1000046222,,0
Other lab:1000046538,,0
Other lab:1000047671,,0
Other lab:1000048582,,0
Other lab:1000049900,,0
Other lab:1000056092,,0
Other lab:1000058214,,0
Other lab:1000065473,,0
Other lab:1000072482,,0
Other lab:1000073068,,0
Other lab:1000073438,,0
Other lab:1000074737,,0
Other lab:1000078272,,0.00134444362829206
Other lab:1000079548,,0.00531100834179513
Other lab:1000080207,,1.42026209475739e-07
Other lab:1000080999,,1.83790564807089e-08
Other lab:1000082178,,0
Other lab:1000082797,,0
Other lab:1000083088,,1.53588941982428e-07
Other lab:1000084062,,0.000805273640919742
Other lab:1000085773,,0.00194324202831734
Other lab:1000085866,,0
Other lab:1000088563,,0
Other lab:1000088684,,0
Other lab:1000091075,,0
Other lab:1000091818,,0.00013662715313667
Other lab:1000092853,,0.00556727387616983
Other lab:1000093146,,0.000889451173233863
Other lab:1000093307,,0.000700384525748524
Other lab:1000097490,,0
Other lab:1000097905,,0.00516403843291024
Other lab:1000100487,,0
Other lab:1000105807,,0.0114965286212444
Other lab:1000110086,,0
Other lab:1000113359,,0
Other lab:1000113370,,0
Other lab:1000113374,,0
Other lab:1000123632,,0
Other lab:1000123683,,0
Other lab:1000125738,,0.00269021460154529
Other lab:1000127464,,0
Other lab:1000130132,,0
Other lab:1000138393,,0
Other lab:1200001045,,0
Other lab:1200003709,,-0.00130673126306027
Other lab:1200005063,,0
Other lab:1200009278,,0
Other lab:1200009804,,0
Other lab:1200012810,,0
Other lab:1200017939,,0.00419535567788935
Other lab:1200019634,,0
Other lab:1200020374,,0
Other lab:1200020589,,0
Other lab:1200026959,,0
Other lab:1200027224,,0
Other lab:1200030359,,0
Other lab:1200037040,,0
Other lab:1200041052,,0
Other lab:1200043285,,0
Other lab:1200049397,,0
Other lab:1200056521,,0
Other lab:1200062404,,0
Other lab:1200063830,,0
Other lab:1200067462,,0
Other lab:1200071543,,0
Other lab:1200074538,,0
Other lab:1200077607,,0
Other lab:1200092797,,0
Other lab:1200097367,,0
Other lab:1200098095,,0
Other lab:1200098375,,0
Other lab:1200100409,,0
Other lab:1200108410,,0
Other lab:1200109766,,0.00320150349473658
Other lab:1200109768,,2.1149906003938e-07
Other lab:1200111243,,0.00671756527439399
Other lab:1200111254,,4.23474585511797e-18
Other lab:1200111256,,0
Other lab:1200115145,,0
Other lab:1200118041,,0.00108599283310587
Other lab:1200118042,,3.83264991830457e-08
Other lab:1200118043,,0
Other lab:1200118044,,0
Other lab:1200119549,,0
Other lab:1200122176,,0.00569110447620572
Other lab:1200123413,,0
Other lab:1200124637,,0
Other lab:1200128620,,0
Other lab:1200131781,,0.000486798740558852
Other lab:1200132179,,0
Other lab:1200132244,,0
Other lab:1200132245,,0
Other lab:1200136134,,0.0314528896012958
Other lab:1200136135,,1.21552886984913e-07
Other lab:1200136136,,0.000297782984780192
Other lab:1200138535,,4.45473991280299e-07
Other lab:1200138536,,0
Other lab:1200138537,,0
Other lab:1200138538,,0
Other lab:1200138539,,0
Other lab:1200138540,,0
Other lab:1200138541,,0.000338540109288378
Other lab:1200138542,,0
Other lab:1200138543,,3.754495520207e-05
Other lab:1200138544,,0
Other lab:1200138545,,4.97647760167795e-05
Other lab:1200138546,,1.22398906439532e-17
Other lab:1200138547,,0
Other lab:1200138548,,0
Other lab:1200138549,,0
Other lab:1200138550,,0
Other lab:1200138551,,0
Other lab:1200138552,,0
Other lab:1200138553,,0
Other lab:1200138555,,0
Other lab:1200138556,,0
Other lab:1200138557,,2.25677878296916e-06
Other lab:1200138558,,0
Other lab:1200138559,,0
Other lab:1200138560,,3.60817890097702e-06
Other lab:1200138561,,0
Other lab:1200138562,,0
Other lab:1200138563,,0
Other lab:1200138564,,0
Other lab:1200138565,,0
Other lab:1200138566,,0
Other lab:1200138567,,0
Other lab:1200138568,,0
Other lab:1200138569,,0
Other lab:1200138570,,0
Other lab:1200138665,,0
Other lab:1200138666,,0
Other lab:1200139018,,0
Other lab:1200139019,,0
Other lab:1200139020,,0
Other lab:1200139037,,0
Other lab:1200139038,,0
Other lab:1200139039,,0
Other lab:1200139040,,0
Other lab:1200139041,,0
Other lab:1200139583,,0
Other lab:1200139584,,0
Other lab:1200139673,,0
Other lab:1200140509,,0
Other lab:1200140510,,0
Other lab:1200140511,,0
Other lab:1200140512,,0
Other lab:1200140513,,0
Other lab:1200140514,,0
Other lab:1200140515,,0
Other lab:1200140517,,0
Other lab:1200140518,,0
Other lab:1200141194,,0
Other lab:1400002921,,0
Other lab:1400019640,,0
Other lab:1400034601,,0
Other lab:1400036647,,0.0148018780284524
Other lab:1400037633,,0.0013482119320203
Other lab:1400043521,,2.80942887690237e-10
Other lab:1400055391,,0
Other lab:1400057084,,0
Other lab:1400057639,,0
Other lab:1400064377,,0
Other lab:1400067813,,0
Other lab:1400069118,,0
Other lab:1400071829,,0
Other lab:1400078944,,0
Other lab:1400564654,,0
Other lab:1400570592,,0.000500079346701374
Other lab:1400575908,,0
Other lab:1400575945,,-0.000915261085494899
Other lab:1400581237,,0
Other lab:1400588543,,0
Other lab:1400589589,,-3.85639883543323e-18
Other lab:1400589590,,0
Other lab:1400590353,,0
Other lab:1400591060,,0
Other lab:1400591078,,-1.79965278986884e-17
Other lab:800010466,,0
Other lab:800010497,,0.00420861668242228
Other lab:800010898,,0
Other lab:800017435,,0
Other lab:800023376,,0
Other lab:800044440,,0
Other lab:800048990,,0
Other lab:800051837,,0
Other lab:800058968,,0
Other lab:800080170,,0
Other lab:800086436,,0.000299271766743667
Other lab:800221984,,0
Other lab:800224219,,0
