name,coef1,coef2
CCS:130,0.0296434573060091,0.0136732857781409
CCS:131,0.00321888874456939,-0.000173686370957295
CCS:156,0,0
CCS:163,0,0
CCS:182,0.00774538946640801,0.00349256331926678
CCS:198,0,0
CCS:200,0.016589267727062,0.00326656184458017
CCS:206,0.00328976634334797,0.00739827136458592
CCS:213,0,0
CCS:215,0,0
CCS:218,0.162774834787219,0.0951394298194491
CCS:219,0.0230488863957196,0.0360818562406608
CCS:220,0.0160558262480173,0.00554908014971491
CCS:226,-0.00119103823414226,0.00125086469483477
CCS:227,0.00175100578503566,0.00226335540619362
CCS:228,0.033873294278196,0.0160586793969576
CCS:232,0.00686424174497517,-0.00207236602537707
CCS:233,0.0515389913081784,0.0206360617595536
CCS:234,0,0
CCS:235,0,0
CCS:237,0.0252371844160372,0.0672240146319853
LOINC:10976-9,0,0
LOINC:10992-6,0,
LOINC:10998-3,0,0
LOINC:11004-9,0,
LOINC:12342-2,0.00325888731400582,
LOINC:12375-2,0,
LOINC:12377-8,0.00693919980410797,
LOINC:12382-8,0.00530098489597124,0.00934535442252994
LOINC:13453-6,0.00131469808475384,
LOINC:13557-4,0,
LOINC:13569-9,0,
LOINC:13572-3,0.00485640287062074,
LOINC:13577-2,0,
LOINC:13579-8,0,
LOINC:13588-9,0,
LOINC:13622-6,0,
LOINC:14313-1,0,
LOINC:14314-9,0.0344329182711902,
LOINC:14316-4,0.0565803715662823,
LOINC:14334-7,0,0
LOINC:14336-2,0,
LOINC:14624-1,0,
LOINC:16199-2,0,
LOINC:16201-6,-0.00160544046536284,0.00442100594177638
LOINC:16228-9,0.0141427838210764,0.0136075892151072
LOINC:16249-5,,0
LOINC:16254-5,0.00768872965059564,
LOINC:16360-0,0.0195078051489372,
LOINC:16369-1,0,
LOINC:17384-9,0.0367468419882277,
LOINC:17738-6,0,
LOINC:17856-6,0,
LOINC:18282-4,,0
LOINC:19080-1,,0
LOINC:19141-1,,0
LOINC:19289-9,0,
LOINC:19312-8,,0
LOINC:19328-4,,0
LOINC:19388-8,,0
LOINC:19483-7,,0
LOINC:19550-3,0,
LOINC:19642-8,0,
LOINC:19659-2,,0
LOINC:20507-0,0,0
LOINC:2086-7,0,
LOINC:2090-9,0,
LOINC:2093-3,0,
LOINC:2106-3,0.0250223028342839,0.00577865177066487
LOINC:2110-5,0,0
LOINC:21441-1,,0
LOINC:2161-8,0,
LOINC:24111-7,,0
LOINC:2571-8,0,
LOINC:28059-4,0,
LOINC:2963-7,0,
LOINC:3016-3,0.0232344043177573,0.00570073787241994
LOINC:30167-1,,0
LOINC:3298-7,0,0
LOINC:33060-5,0.000814717365439821,
LOINC:3312-6,0,
LOINC:3335-7,0,
LOINC:3349-8,,0.0158803428012715
LOINC:3389-4,0,
LOINC:3390-2,,0
LOINC:3397-7,,0
LOINC:3413-2,0,
LOINC:3414-0,0.0102898143844259,0.0125916852497992
LOINC:3436-3,,0
LOINC:3491-8,0.0737017668751992,
LOINC:3494-2,0,
LOINC:3505-5,0,
LOINC:3507-1,,0
LOINC:3531-1,0.0394060954131271,
LOINC:35467-0,0,
LOINC:3548-5,0,
LOINC:35597-4,0,
LOINC:35608-9,0,
LOINC:35610-5,0,
LOINC:35614-7,0,
LOINC:35616-2,0,
LOINC:35624-6,0,
LOINC:35627-9,0.0188512217287651,
LOINC:35629-5,0,
LOINC:35635-2,0,
LOINC:3679-8,0,
LOINC:3682-2,0,
LOINC:3725-9,,0
LOINC:3773-9,,0
LOINC:3778-8,0,
LOINC:3826-5,0,
LOINC:3879-4,,1.61175604197735e-06
LOINC:4073-3,0,0
LOINC:43304-5,0.0113490176343736,0.00170942548448365
LOINC:47000-5,,0
LOINC:48345-3,,0
LOINC:55349-5,0,
LOINC:5643-2,,0
LOINC:5644-0,,0.00542013565900802
LOINC:5645-7,,0
LOINC:56888-1,,0
LOINC:57300-6,0,
LOINC:57301-4,0,
LOINC:57304-8,0,
LOINC:58375-7,,0
LOINC:58424-3,,0
LOINC:59593-4,0,
LOINC:60676-4,,0
LOINC:6349-5,,0
LOINC:6410-5,,0
LOINC:6515-1,,0
LOINC:698-1,,0
LOINC:72377-5,0,
LOINC:72378-3,0.0218051392830486,
LOINC:72380-9,0,
LOINC:72381-7,0,
LOINC:72385-8,0.0388198326639606,
LOINC:72388-2,0,
LOINC:72610-9,0,
LOINC:72733-9,0,
LOINC:72735-4,0,
LOINC:72737-0,0,
LOINC:72746-1,0,
LOINC:72750-3,0,
LOINC:72752-9,0,
LOINC:72753-7,0,
LOINC:72755-2,0,
LOINC:72758-6,0,
LOINC:72762-8,0,
LOINC:72766-9,0,
LOINC:82306-2,,0
LOINC:9830-1,0,
LOINC:X7003-7,0.00895787590327012,
LOINC:X7004-5,0.00153947207296833,
LOINC:X7005-2,0.0283166596522941,
LOINC:X7006-0,0,
LOINC:X7008-6,0,
LOINC:X7011-0,0,
LOINC:X7013-6,0,
Other lab:1000000049,,0
Other lab:1000000388,,0
Other lab:1000000417,,0
Other lab:1000001688,,0
Other lab:1000001695,,0
Other lab:1000001744,,0
Other lab:1000001992,,0
Other lab:1000018437,,0
Other lab:1000019158,,0
Other lab:1000019243,,0
Other lab:1000025222,,0
Other lab:1000036461,,0
Other lab:1000038032,,0
Other lab:1000041034,,0
Other lab:1000046222,,0
Other lab:1000046538,,0
Other lab:1000047671,,0
Other lab:1000048582,,0
Other lab:1000049900,,0
Other lab:1000056092,,0
Other lab:1000058214,,0
Other lab:1000065473,,0
Other lab:1000072482,,0
Other lab:1000073068,,0
Other lab:1000073438,,0
Other lab:1000074737,,0
Other lab:1000078272,,0
Other lab:1000079548,,0
Other lab:1000080207,,0
Other lab:1000080999,,0
Other lab:1000082178,,0
Other lab:1000082797,,0
Other lab:1000083088,,0
Other lab:1000084062,,0
Other lab:1000085773,,0
Other lab:1000085866,,0
Other lab:1000088563,,0
Other lab:1000088684,,0
Other lab:1000091075,,0
Other lab:1000091818,,0
Other lab:1000092853,,0
Other lab:1000093146,,0
Other lab:1000093307,,0
Other lab:1000097490,,0
Other lab:1000097905,,0
Other lab:1000100487,,0
Other lab:1000105807,,0
Other lab:1000110086,,0
Other lab:1000113359,,0
Other lab:1000113370,,0
Other lab:1000113374,,0
Other lab:1000123632,,0
Other lab:1000123683,,0
Other lab:1000125738,,0
Other lab:1000127464,,0.0017377012071597
Other lab:1000130132,,0
Other lab:1000138393,,0
Other lab:1200001045,,0
Other lab:1200003709,,0
Other lab:1200005063,,0
Other lab:1200009278,,0
Other lab:1200009804,,0
Other lab:1200012810,,0
Other lab:1200017939,,0
Other lab:1200019634,,0
Other lab:1200020374,,0
Other lab:1200020589,,0
Other lab:1200026959,,0
Other lab:1200027224,,0
Other lab:1200030359,,0
Other lab:1200037040,,0
Other lab:1200041052,,0
Other lab:1200043285,,0
Other lab:1200049397,,0
Other lab:1200056521,,0
Other lab:1200062404,,0
Other lab:1200063830,,0
Other lab:1200067462,,0
Other lab:1200071543,,0
Other lab:1200074538,,0
Other lab:1200077607,,0
Other lab:1200092797,,0
Other lab:1200097367,,0
Other lab:1200098095,,0
Other lab:1200098375,,0
Other lab:1200100409,,0
Other lab:1200108410,,0
Other lab:1200109766,,0
Other lab:1200109768,,0
Other lab:1200111243,,0
Other lab:1200111254,,0
Other lab:1200111256,,0
Other lab:1200115145,,0
Other lab:1200118041,,0
Other lab:1200118042,,0
Other lab:1200118043,,0
Other lab:1200118044,,0
Other lab:1200119549,,0
Other lab:1200122176,,0
Other lab:1200123413,,0
Other lab:1200124637,,0
Other lab:1200128620,,0
Other lab:1200131781,,0
Other lab:1200132179,,0
Other lab:1200132244,,0
Other lab:1200132245,,0
Other lab:1200136134,,0.0383546603943488
Other lab:1200136135,,1.95859546626385e-07
Other lab:1200136136,,0.000662451603035673
Other lab:1200138535,,5.16981750083393e-07
Other lab:1200138536,,0
Other lab:1200138537,,0
Other lab:1200138538,,0
Other lab:1200138539,,0
Other lab:1200138540,,0
Other lab:1200138541,,0
Other lab:1200138542,,0
Other lab:1200138543,,0
Other lab:1200138544,,0
Other lab:1200138545,,0
Other lab:1200138546,,0
Other lab:1200138547,,0
Other lab:1200138548,,0
Other lab:1200138549,,0
Other lab:1200138550,,0
Other lab:1200138551,,0
Other lab:1200138552,,0
Other lab:1200138553,,0
Other lab:1200138555,,0
Other lab:1200138556,,0
Other lab:1200138557,,0
Other lab:1200138558,,0
Other lab:1200138559,,0
Other lab:1200138560,,0.000103386602508926
Other lab:1200138561,,0
Other lab:1200138562,,0
Other lab:1200138563,,0
Other lab:1200138564,,0
Other lab:1200138565,,0
Other lab:1200138566,,0
Other lab:1200138567,,0
Other lab:1200138568,,0
Other lab:1200138569,,0
Other lab:1200138570,,0
Other lab:1200138665,,0
Other lab:1200138666,,0
Other lab:1200139018,,0
Other lab:1200139019,,0
Other lab:1200139020,,0
Other lab:1200139037,,0
Other lab:1200139038,,0
Other lab:1200139039,,0
Other lab:1200139040,,0
Other lab:1200139041,,0
Other lab:1200139583,,0
Other lab:1200139584,,0
Other lab:1200139673,,0
Other lab:1200140509,,0
Other lab:1200140510,,0
Other lab:1200140511,,0
Other lab:1200140512,,0
Other lab:1200140513,,0
Other lab:1200140514,,0
Other lab:1200140515,,0
Other lab:1200140517,,0
Other lab:1200140518,,0
Other lab:1200141194,,0
Other lab:1400002921,,0
Other lab:1400019640,,0
Other lab:1400034601,,0
Other lab:1400036647,,0
Other lab:1400037633,,0
Other lab:1400043521,,0
Other lab:1400055391,,0
Other lab:1400057084,,0
Other lab:1400057639,,0
Other lab:1400064377,,0
Other lab:1400067813,,0
Other lab:1400069118,,0
Other lab:1400071829,,0
Other lab:1400078944,,0
Other lab:1400564654,,0
Other lab:1400570592,,0
Other lab:1400575908,,0
Other lab:1400575945,,0
Other lab:1400581237,,0
Other lab:1400588543,,0
Other lab:1400589589,,0
Other lab:1400589590,,0
Other lab:1400590353,,0
Other lab:1400591060,,0
Other lab:1400591078,,0
Other lab:800010466,,0
Other lab:800010497,,0
Other lab:800010898,,0
Other lab:800017435,,0
Other lab:800023376,,0
Other lab:800044440,,0
Other lab:800048990,,0
Other lab:800051837,,0
Other lab:800058968,,0
Other lab:800080170,,0
Other lab:800086436,,0
Other lab:800221984,,0
Other lab:800224219,,0
Other lab:800224995,,0
Other lab:800230878,,0
Other lab:800250413,,0
PheCode:070.3,0.0028312105367725,0.00836415064540285
PheCode:1004,,0
PheCode:1009,,0
PheCode:1010.1,,0
PheCode:1010.5,,0
PheCode:1010.6,,0
PheCode:1010.7,,0
PheCode:1015,,0
PheCode:180.3,0,0
PheCode:216.1,0.0082735675697248,-0.00407779543801343
PheCode:218.1,0,0
PheCode:218.2,0,0
PheCode:221,0,0
PheCode:244.4,0,0
PheCode:256.4,0,0
PheCode:257.1,-0.00093682087086778,0.00299909676163551
PheCode:260.7,0.00710517864974389,2.60096780768103e-05
PheCode:261.2,0,0
PheCode:261.4,0,0
PheCode:272.1,0.0208939943579164,0.00684946747286872
